,Country,White Shark (Y/N),Fatal (Y/N)
1690,NEW ZEALAND,Other,N
1691,USA,Other,N
1692,AUSTRALIA,Other,N
1694,NEW ZEALAND,Other,N
1698,AUSTRALIA,Other,N
1699,AUSTRALIA,White Shark,N
1700,URUGUAY,Other,N
1702,VENEZUELA,Other,N
1703,VENEZUELA,Other,N
1704,SOUTH AFRICA,Other,N
1705,AUSTRALIA,Other,N
1706,SOUTH AFRICA,Other,N
1710,SOUTH AFRICA,Other,N
1715,AUSTRALIA,Other,N
1716,AUSTRALIA,Other,N
1717,SOUTH AFRICA,Other,Y
1718,USA,Other,N
1719,INDIA,Other,N
1721,EGYPT,White Shark,N
1722,SOUTH AFRICA,White Shark,N
1724,PANAMA,Other,N
1725,USA,Other,N
1726,AUSTRALIA,Other,N
1727,USA,Other,N
1730,USA,Other,N
1731,USA,Other,Y
1736,USA,Other,N
1742,USA,Other,N
1743,SOUTH AFRICA,Other,N
1745,USA,Other,N
1746,USA,Other,N
1747,SOUTH AFRICA,White Shark,Y
1749,USA,Other,N
1750,USA,White Shark,Y
1752,SOUTH AFRICA,White Shark,N
1756,BAHAMAS,Other,N
1757,USA,Other,N
1758,USA,Other,N
1759,BAHAMAS,Other,N
1760,USA,Other,N
1762,NEW ZEALAND,Other,N
1763,USA,Other,N
1764,USA,Other,N
1766,USA,Other,N
1767,USA,Other,N
1768,USA,Other,N
1769,USA,Other,N
1773,USA,Other,N
1774,USA,Other,N
1775,USA,Other,N
1777,PHILIPPINES,White Shark,N
1780,BRAZIL,Other,N
1782,USA,Other,N
1783,USA,Other,N
1784,USA,Other,N
1785,USA,Other,N
1786,USA,Other,N
1787,USA,Other,N
1788,USA,Other,N
1789,USA,Other,N
1790,VENEZUELA,Other,N
1792,USA,Other,N
1793,USA,Other,N
1794,NEW ZEALAND,White Shark,N
1795,AUSTRALIA,Other,N
1796,USA,Other,N
1797,AUSTRALIA,Other,N
1798,AUSTRALIA,Other,Y
1800,COSTA RICA,Other,N
1801,AUSTRALIA,Other,N
1802,AUSTRALIA,Other,N
1803,SOUTH AFRICA,White Shark,N
1804,AUSTRALIA,Other,N
1806,AUSTRALIA,Other,Y
1808,MICRONESIA,Other,N
1809,USA,White Shark,N
1810,USA,Other,N
1811,TURKS & CAICOS,Other,N
1812,USA,Other,N
1813,USA,Other,N
1815,USA,Other,N
1816,BRAZIL,Other,Y
1818,USA,Other,N
1819,USA,Other,N
1820,USA,Other,N
1821,USA,Other,N
1823,USA,Other,N
1824,USA,Other,N
1825,TONGA,Other,N
1826,USA,Other,N
1827,USA,Other,N
1828,BRAZIL,Other,N
1830,SOUTH AFRICA,White Shark,N
1831,USA,Other,N
1832,USA,Other,N
1833,USA,Other,N
1835,USA,Other,N
1836,USA,Other,N
1838,UNITED KINGDOM,Other,N
1839,USA,Other,N
1840,USA,Other,N
1841,USA,Other,N
1843,USA,Other,Y
1844,BRAZIL,Other,N
1845,USA,Other,N
1851,USA,Other,N
1852,USA,Other,N
1853,USA,Other,N
1855,SOUTH AFRICA,Other,N
1856,USA,White Shark,N
1857,USA,Other,N
1858,USA,Other,N
1860,COSTA RICA,Other,N
1862,USA,Other,N
1865,AUSTRALIA,White Shark,Y
1867,USA,Other,N
1870,BAHAMAS,Other,N
1871,USA,Other,N
1872,USA,Other,N
1873,USA,Other,N
1874,USA,Other,N
1876,USA,Other,N
1877,USA,Other,N
1878,USA,Other,N
1881,AUSTRALIA,Other,N
1883,AUSTRALIA,Other,N
1884,AUSTRALIA,Other,N
1886,SOUTH AFRICA,Other,N
1888,SOUTH AFRICA,Other,N
1889,USA,Other,N
1891,AUSTRALIA,Other,N
1894,SOUTH AFRICA,Other,N
1895,AUSTRALIA,Other,N
1896,MEXICO,Other,N
1897,AUSTRALIA,White Shark,N
1898,USA,Other,N
1900,USA,Other,Y
1901,USA,Other,N
1903,UNITED KINGDOM,Other,N
1906,USA,Other,N
1907,USA,White Shark,Y
1908,USA,White Shark,N
1909,USA,Other,N
1910,USA,Other,Y
1911,BAHAMAS,Other,N
1916,USA,Other,N
1921,USA,Other,N
1922,USA,Other,N
1923,USA,Other,N
1924,BAHAMAS,Other,N
1925,THAILAND,Other,N
1931,USA,Other,N
1932,USA,Other,N
1934,USA,Other,N
1936,USA,Other,N
1939,USA,Other,N
1940,USA,White Shark,N
1942,USA,Other,N
1944,USA,Other,N
1948,SOUTH AFRICA,White Shark,N
1950,USA,Other,N
1954,USA,Other,N
1957,USA,Other,N
1958,USA,Other,N
1959,USA,Other,N
1960,USA,Other,N
1962,USA,White Shark,N
1963,USA,Other,N
1964,SOUTH AFRICA,White Shark,N
1965,AUSTRALIA,Other,N
1966,USA,Other,N
1968,AUSTRALIA,Other,N
1970,USA,Other,N
1973,CARIBBEAN SEA,Other,Y
1974,AUSTRALIA,White Shark,N
1976,AUSTRALIA,Other,N
1977,AUSTRALIA,Other,N
1978,CUBA,Other,N
1979,AUSTRALIA,White Shark,N
1980,USA,Other,N
1981,NEW ZEALAND,White Shark,N
1983,FIJI,Other,Y
1984,AUSTRALIA,White Shark,N
1985,CANADA,Other,N
1986,AUSTRALIA,Other,N
1988,AUSTRALIA,Other,N
1990,USA,Other,N
1992,AUSTRALIA,White Shark,N
1993,AUSTRALIA,White Shark,Y
1994,USA,White Shark,N
1995,AUSTRALIA,White Shark,N
1997,USA,Other,N
1999,USA,Other,N
2000,USA,Other,N
2003,USA,White Shark,N
2004,AUSTRALIA,White Shark,Y
2005,AUSTRALIA,White Shark,Y
2006,AUSTRALIA,Other,N
2007,OKINAWA,White Shark,Y
2011,USA,Other,N
2013,SOUTH AFRICA,White Shark,N
2014,TANZANIA,Other,Y
2015,USA,Other,N
2016,REUNION,Other,N
2017,TANZANIA,Other,Y
2018,USA,Other,N
2019,USA,Other,Y
2020,USA,Other,N
2022,USA,Other,N
2023,USA,Other,N
2024,USA,Other,N
2027,TANZANIA,Other,Y
2029,USA,Other,N
2031,USA,Other,N
2035, TONGA,Other,N
2038,USA,Other,N
2039,USA,Other,N
2041,USA,Other,N
2042,USA,Other,N
2043,USA,Other,N
2044,TANZANIA,Other,Y
2046,NEW ZEALAND,Other,N
2048,USA,Other,N
2049,USA,Other,N
2050,USA,Other,N
2051,USA,Other,N
2053,TANZANIA,Other,Y
2054,NEW CALEDONIA,Other,Y
2061,AUSTRALIA,Other,N
2062,USA,Other,N
2063,USA,Other,N
2064,NEW CALEDONIA,Other,Y
2065,AUSTRALIA,Other,N
2066,AUSTRALIA,Other,N
2070,USA,Other,N
2072,SOUTH AFRICA,White Shark,N
2073,ENGLAND,Other,N
2075,AUSTRALIA,Other,N
2078,USA,Other,N
2079,NEW ZEALAND,Other,N
2080,NEW ZEALAND,Other,N
2081,NEW ZEALAND,Other,N
2082,BRAZIL,White Shark,N
2084,BRAZIL,Other,N
2087,USA,Other,N
2088,USA,White Shark,N
2089,SOUTH AFRICA,White Shark,N
2090,BRAZIL,Other,N
2091,MARSHALL ISLANDS,Other,N
2092,MARSHALL ISLANDS,Other,N
2095,USA,Other,N
2096,USA,Other,N
2098,ITALY,White Shark,N
2099,USA,White Shark,N
2100,USA,Other,N
2102,USA,Other,N
2103,USA,Other,N
2105,USA,Other,N
2107,MARSHALL ISLANDS,Other,N
2109,USA,Other,N
2110,USA,Other,N
2111,BAHAMAS,Other,N
2112,SOUTH AFRICA,White Shark,N
2113,USA,Other,N
2114,USA,Other,N
2115,SOUTH AFRICA,White Shark,Y
2117,USA,Other,N
2118,SOUTH AFRICA,White Shark,N
2119,USA,Other,N
2120,USA,Other,N
2122,USA,Other,N
2123,AUSTRALIA,White Shark,Y
2124,BRAZIL,Other,N
2125,MAURITIUS,Other,N
2126,REUNION,Other,Y
2128,NEW ZEALAND,Other,N
2131,NEW CALEDONIA,Other,N
2132,NEW ZEALAND,Other,N
2134,USA,Other,N
2135,USA,Other,N
2136,AUSTRALIA,Other,N
2137,USA,Other,N
2138,MAURITIUS,Other,N
2139,SOUTH AFRICA,White Shark,N
2142,REUNION,Other,Y
2143,SOUTH AFRICA,White Shark,N
2147,SOUTH AFRICA,White Shark,N
2150,USA,Other,Y
2151,USA,Other,N
2152,USA,Other,N
2153,USA,White Shark,N
2154,JAPAN,Other,N
2155,BRAZIL,White Shark,Y
2165,USA,Other,N
2166,SENEGAL,Other,N
2167,USA,Other,N
2169,USA,White Shark,N
2170,USA,Other,N
2171,BAHAMAS,Other,N
2172,USA,Other,N
2173,SOUTH AFRICA,Other,N
2174,SOUTH AFRICA,White Shark,N
2175,SOUTH AFRICA,White Shark,N
2178,SOUTH AFRICA,Other,N
2179,SOUTH AFRICA,Other,N
2180,SOUTH AFRICA,Other,N
2181,AUSTRALIA,White Shark,Y
2182,SOUTH AFRICA,White Shark,Y
2186,SOUTH AFRICA,White Shark,N
2187,SOUTH AFRICA,Other,N
2188,USA,Other,N
2189,USA,Other,N
2191,SOUTH AFRICA,White Shark,N
2192,MOZAMBIQUE,Other,Y
2193,USA,White Shark,N
2194,USA,Other,N
2198,SOUTH AFRICA,White Shark,N
2199,USA,Other,N
2200,USA,Other,N
2202,NEW CALEDONIA,Other,N
2206,MOZAMBIQUE,Other,N
2209,USA,Other,N
2210,SOUTH AFRICA,White Shark,Y
2214,AUSTRALIA,White Shark,N
2217,AUSTRALIA,White Shark,N
2218,USA,Other,N
2219,USA,Other,N
2220,USA,Other,N
2221,SOUTH AFRICA,Other,N
2225,USA,Other,N
2229,USA,White Shark,N
2231,MEXICO,Other,Y
2234,EGYPT,White Shark,Y
2237,USA,Other,N
2238,USA,Other,N
2239,USA,Other,N
2240,USA,Other,N
2242,SOUTH AFRICA,White Shark,Y
2244,USA,Other,N
2245,OKINAWA,White Shark,Y
2247,USA,Other,N
2248,FIJI,Other,N
2249,USA,Other,N
2251,USA,Other,N
2252,USA,Other,N
2253,USA,Other,N
2254,USA,Other,N
2255,BAHAMAS,Other,N
2257,BRAZIL,White Shark,N
2258,AUSTRALIA,Other,N
2259,AUSTRALIA,Other,N
2263,AUSTRALIA,Other,N
2264,AUSTRALIA,Other,Y
2265,REUNION,Other,Y
2266,AUSTRALIA,White Shark,N
2268,SOUTH AFRICA,White Shark,N
2271,USA,White Shark,N
2276,USA,White Shark,N
2277,USA,Other,N
2278,USA,White Shark,N
2281,NEW ZEALAND,White Shark,N
2282,USA,Other,N
2286,SOUTH AFRICA,White Shark,N
2287,USA,Other,N
2288,USA,White Shark,N
2289,USA,Other,N
2291,OKINAWA,White Shark,Y
2292,EGYPT / ISRAEL,White Shark,N
2293,USA,Other,N
2297,USA,Other,N
2300,AUSTRALIA,White Shark,N
2302,SOUTH AFRICA,White Shark,N
2303,AUSTRALIA,Other,Y
2304,USA,Other,N
2306,USA,Other,N
2308,AUSTRALIA,Other,N
2309,AUSTRALIA,Other,N
2311,AUSTRALIA,Other,N
2312,AUSTRALIA,Other,N
2313,AUSTRALIA,Other,N
2314,USA,Other,N
2319,AUSTRALIA,Other,N
2320,USA,Other,N
2321,AUSTRALIA,Other,N
2322,USA,Other,N
2324,AUSTRALIA,Other,N
2325,REUNION,Other,Y
2326,FIJI,Other,Y
2327,USA,Other,N
2329,NEW ZEALAND,White Shark,N
2335,AUSTRALIA,Other,N
2336,USA,Other,N
2337,USA,Other,N
2339,USA,White Shark,N
2340,USA,Other,N
2343,USA,Other,Y
2344,AUSTRALIA,White Shark,Y
2345,USA,White Shark,N
2347,USA,Other,N
2350,USA,Other,N
2351,USA,Other,N
2352,USA,Other,N
2353,USA,Other,N
2354,USA,Other,N
2355,USA,Other,N
2356,TONGA,Other,N
2357,USA,Other,N
2360,USA,Other,N
2361,USA,Other,N
2374,USA,Other,N
2376,USA,White Shark,N
2377,USA,White Shark,N
2378,USA,Other,N
2380,USA,Other,N
2381,USA,Other,N
2382,USA,Other,N
2383,HONG KONG,Other,Y
2384,HONG KONG,Other,Y
2386,USA,Other,N
2387,FIJI,Other,Y
2389,SOUTH KOREA,Other,Y
2392,AUSTRALIA,Other,N
2393,JAPAN,White Shark,Y
2395,AUSTRALIA,Other,N
2397,SOUTH AFRICA,Other,N
2399,SOUTH AFRICA,Other,Y
2400,BRAZIL,Other,N
2402,AUSTRALIA,Other,N
2405,SOUTH AFRICA,White Shark,N
2411,USA,White Shark,Y
2413,SOUTH AFRICA,Other,N
2414,USA,Other,N
2418,USA,Other,N
2421,USA,White Shark,N
2423,USA,Other,N
2427,REUNION,Other,Y
2428,SOUTH AFRICA,White Shark,Y
2429,SOUTH AFRICA,White Shark,N
2431,USA,Other,N
2432,BAHAMAS,Other,N
2434,USA,Other,N
2435,USA,Other,N
2436,USA,Other,N
2438,USA,Other,N
2440,REUNION,Other,Y
2441,BAHAMAS,Other,N
2443,SOUTH AFRICA,White Shark,Y
2444,CHILE,White Shark,N
2445,CHILE,White Shark,N
2446,USA,Other,N
2447,BRAZIL,Other,N
2448,SOUTH AFRICA,Other,N
2449,USA,Other,N
2451,SOUTH AFRICA,White Shark,N
2454,USA,Other,Y
2456,AUSTRALIA,White Shark,N
2457,AUSTRALIA,Other,N
2458,SOUTH AFRICA,Other,N
2459,HONG KONG,Other,N
2461,USA,Other,Y
2463,AUSTRALIA,Other,Y
2466,USA,White Shark,N
2467,USA,Other,N
2468,USA,White Shark,N
2469,USA,Other,N
2471,SOUTH AFRICA,White Shark,N
2472,EL SALVADOR,White Shark,N
2474,USA,Other,N
2476,SPAIN,Other,N
2477,BAHAMAS,Other,N
2480,USA,White Shark,N
2481,USA,Other,N
2482,AUSTRALIA,White Shark,N
2483,USA,White Shark,N
2485,EL SALVADOR,White Shark,Y
2486,SOUTH AFRICA,White Shark,N
2487,USA,Other,N
2492,USA,Other,N
2493,AUSTRALIA,White Shark,Y
2494,AUSTRALIA,White Shark,Y
2496,USA,Other,N
2502,JAPAN,White Shark,N
2503,USA,Other,N
2504,USA,White Shark,N
2507,TONGA,Other,N
2508,AUSTRALIA,Other,N
2510,AUSTRALIA,Other,N
2511,CARIBBEAN SEA,White Shark,N
2512,USA,White Shark,N
2513,ANGOLA,White Shark,N
2516,USA,Other,N
2517,USA,Other,N
2518,USA,Other,N
2519,USA,Other,N
2520,USA,Other,N
2521,USA,Other,N
2522,USA,White Shark,N
2523,FIJI,Other,N
2524,USA,Other,N
2526,USA,Other,Y
2527,USA,White Shark,N
2528,USA,Other,N
2529,AUSTRALIA,Other,N
2531,AUSTRALIA,White Shark,Y
2533,USA,White Shark,N
2537,BAHAMAS,Other,N
2538,AUSTRALIA,White Shark,N
2540,USA,White Shark,N
2541,USA,Other,N
2544,USA,Other,N
2548,REUNION,Other,Y
2550,JAPAN,White Shark,N
2551,REUNION,Other,N
2553,REUNION,Other,Y
2555,NEW ZEALAND,White Shark,N
2556,SOUTH AFRICA,Other,N
2557,USA,Other,N
2558,AUSTRALIA,Other,N
2559,JAPAN,White Shark,Y
2561,USA,White Shark,N
2562,USA,Other,Y
2563,JAPAN,Other,N
2565,REUNION,Other,N
2566,AUSTRALIA,Other,N
2567,SOUTH AFRICA,Other,N
2568,SOUTH AFRICA,Other,N
2569,MAURITIUS,Other,N
2573,USA,White Shark,N
2574,USA,Other,Y
2575,USA,Other,N
2576,USA,Other,Y
2577,USA,Other,N
2578,AUSTRALIA,Other,N
2579,USA,Other,N
2580,USA,White Shark,N
2582,AUSTRALIA,White Shark,Y
2583,AUSTRALIA,Other,N
2584,USA,Other,N
2585,USA,Other,N
2586,USA,Other,N
2587,ITALY,White Shark,N
2588,USA,Other,N
2589,USA,Other,N
2591,REUNION,Other,N
2592,USA,White Shark,N
2593,USA,Other,N
2597,USA,Other,N
2598,HONG KONG,Other,Y
2599,USA,Other,N
2600,SOUTH AFRICA,White Shark,N
2601,BRAZIL,Other,N
2602,USA,Other,N
2603,USA,Other,N
2604,USA,Other,N
2605,AUSTRALIA,Other,N
2606,USA,White Shark,N
2607,SOUTH AFRICA,White Shark,N
2609,AUSTRALIA,Other,N
2610,AUSTRALIA,Other,N
2612,AUSTRALIA,Other,N
2613,USA,White Shark,N
2614,USA,Other,N
2615,USA,Other,N
2619,USA,Other,N
2620,USA,Other,N
2621,USA,Other,N
2622,SOUTH AFRICA,White Shark,N
2623,USA,White Shark,N
2624,USA,White Shark,N
2626,USA,White Shark,N
2631,SOUTH AFRICA,White Shark,Y
2632,BAHAMAS,Other,N
2633,SOUTH AFRICA,Other,N
2634,AUSTRALIA,Other,N
2635,AUSTRALIA,Other,N
2636,SOUTH AFRICA,White Shark,N
2637,SOUTH AFRICA,White Shark,N
2638,AUSTRALIA,Other,N
2640,AUSTRALIA,Other,N
2641,AUSTRALIA,Other,N
2644,REUNION,Other,N
2645,USA,Other,Y
2647,USA,White Shark,N
2650,AUSTRALIA,Other,N
2652,AUSTRALIA,White Shark,N
2653,SOUTH AFRICA,White Shark,Y
2655,AUSTRALIA,Other,N
2657,AUSTRALIA,White Shark,N
2659,USA,Other,N
2661,AUSTRALIA,White Shark,N
2662,SOUTH AFRICA,White Shark,N
2663,USA,Other,N
2664,USA,White Shark,N
2665,USA,White Shark,N
2666,USA,Other,N
2667,USA,Other,N
2668,AUSTRALIA,Other,N
2669,USA,Other,N
2670,SOUTH AFRICA,White Shark,N
2671,AUSTRALIA,Other,N
2673,AUSTRALIA,White Shark,N
2675,SOUTH AFRICA,White Shark,N
2678,USA,Other,N
2680,USA,Other,N
2681,ITALY,White Shark,N
2682,SOUTH AFRICA,White Shark,N
2683,SOUTH AFRICA,White Shark,N
2685,USA,Other,N
2686,USA,White Shark,N
2687,USA,White Shark,N
2690,AUSTRALIA,White Shark,Y
2691,AUSTRALIA,Other,N
2692,SOUTH AFRICA,Other,N
2694,ITALY,White Shark,Y
2696,USA,White Shark,Y
2697,USA,Other,N
2700,AUSTRALIA,Other,N
2701,PAPUA NEW GUINEA,Other,N
2703,CHILE,White Shark,Y
2707,USA,White Shark,N
2708,AUSTRALIA,Other,N
2709,USA,Other,N
2710,USA,Other,N
2711,USA,Other,N
2713,USA,Other,N
2714,USA,Other,N
2715,USA,Other,N
2716,USA,Other,Y
2717,USA,Other,N
2720,USA,White Shark,N
2721,BAHAMAS,Other,N
2722,BAHAMAS,Other,N
2723,BAHAMAS,Other,N
2726,BAHAMAS,Other,N
2728,SOUTH AFRICA,White Shark,N
2729,USA,Other,N
2730,USA,Other,N
2732,USA,Other,N
2737,USA,White Shark,N
2745,SOUTH AFRICA,Other,N
2747,SOUTH AFRICA,Other,N
2748,SOUTH AFRICA,Other,N
2749,SOUTH AFRICA,Other,N
2750,AUSTRALIA,Other,N
2751,Fiji,Other,N
2754,USA,Other,N
2755,SOUTH AFRICA,Other,N
2756,SOUTH AFRICA,Other,N
2757,AUSTRALIA,Other,N
2759,USA,Other,N
2763,USA,Other,N
2765,SOUTH AFRICA,White Shark,N
2766,DOMINICAN REPUBLIC,Other,Y
2767,AUSTRALIA,White Shark,Y
2768,SOUTH AFRICA,White Shark,N
2769,USA,Other,N
2770,USA,White Shark,N
2771,USA,Other,N
2772,USA,Other,N
2773,USA,Other,N
2774,USA,Other,N
2776,BAHAMAS,Other,N
2777,USA,Other,N
2778,USA,Other,N
2784,VANUATU,Other,Y
2785,AUSTRALIA,Other,N
2786,SOUTH AFRICA,White Shark,N
2787,USA,Other,N
2789,SOUTH AFRICA,White Shark,N
2792,ITALY,White Shark,N
2793,SOUTH AFRICA,Other,N
2794,SOUTH AFRICA,White Shark,Y
2795,USA,Other,N
2797,USA,White Shark,N
2799,NEW CALEDONIA,Other,N
2803,SOUTH AFRICA,Other,N
2804,USA,Other,N
2805,SOUTH AFRICA,Other,N
2807,USA,Other,N
2813,AUSTRALIA,Other,N
2815,AUSTRALIA,White Shark,N
2816,USA,Other,N
2817,SOUTH AFRICA,Other,N
2818,AUSTRALIA,Other,N
2821,SPAIN,Other,N
2822,SPAIN,White Shark,N
2823,SOUTH AFRICA,Other,N
2824,SOUTH AFRICA,Other,N
2825,SOUTH AFRICA,White Shark,N
2827,SOUTH AFRICA,Other,N
2828,SOUTH AFRICA,Other,N
2829,AUSTRALIA,Other,N
2830,USA,Other,N
2831,USA,Other,N
2833,USA,Other,N
2834,AUSTRALIA,Other,N
2835,USA,White Shark,N
2837,SOUTH AFRICA,White Shark,N
2838,USA,Other,N
2839,USA,Other,N
2840,USA,Other,N
2841,USA,Other,N
2842,USA,White Shark,N
2844,USA,Other,N
2849,USA,Other,N
2851,USA,White Shark,N
2852,USA,Other,N
2853,ITALY,White Shark,N
2854,USA,Other,N
2855,SOUTH AFRICA,Other,N
2857,AUSTRALIA,White Shark,Y
2858,USA,White Shark,N
2860,SOUTH AFRICA,Other,N
2862,SOUTH AFRICA,White Shark,N
2863,NEW ZEALAND,Other,N
2864,SOUTH AFRICA,White Shark,N
2865,NEW CALEDONIA,Other,N
2866,SOUTH AFRICA,Other,N
2868,IRAN,Other,Y
2869,ITALY,White Shark,N
2870,AUSTRALIA,Other,Y
2871,USA,Other,N
2872,USA,Other,N
2874,USA,Other,N
2876,USA,Other,N
2877,USA,White Shark,N
2878,USA,White Shark,N
2881,USA,Other,N
2883,USA,Other,N
2884,USA,White Shark,Y
2885,MEXICO,White Shark,N
2889,USA,Other,N
2892,SOUTH AFRICA,Other,N
2893,SOUTH AFRICA,White Shark,N
2894,USA,Other,N
2899,SOUTH AFRICA,Other,N
2901,SOUTH AFRICA,Other,N
2902,SOUTH AFRICA,Other,N
2904,AUSTRALIA,White Shark,N
2905,SOUTH AFRICA,Other,N
2907,USA,Other,N
2911,AUSTRALIA,White Shark,N
2913,SOUTH AFRICA,Other,N
2915,PHILIPPINES,Other,N
2916,USA,Other,N
2918,USA,Other,N
2919,USA,Other,N
2921,USA,White Shark,N
2922,SOUTH AFRICA,White Shark,N
2923,USA,Other,N
2924,USA,Other,N
2925,USA,Other,N
2927,AUSTRALIA,Other,Y
2928,AUSTRALIA,Other,Y
2929,AUSTRALIA,Other,N
2930,SOUTH AFRICA,Other,N
2931,USA,Other,N
2937,BAHAMAS,Other,N
2939,BAHAMAS,Other,N
2940,USA,Other,N
2944,SOUTH AFRICA,Other,N
2947,SOUTH AFRICA,Other,N
2948,SOUTH AFRICA,Other,N
2950,NEW CALEDONIA,Other,N
2951,SOUTH AFRICA,Other,N
2955,SOUTH AFRICA,White Shark,N
2958,USA,Other,N
2960,USA,Other,N
2962,SOUTH AFRICA,White Shark,N
2963,USA,Other,N
2964,USA,White Shark,N
2965,USA,White Shark,N
2970,TUNISIA,Other,N
2972,SOUTH AFRICA,White Shark,N
2973,USA,White Shark,N
2974,USA,Other,N
2978,SOUTH AFRICA,White Shark,Y
2979,USA,Other,N
2980,BAHAMAS,Other,N
2982,USA,Other,N
2987,AUSTRALIA,White Shark,Y
2988,USA,Other,N
2993,USA,White Shark,N
2995,SOUTH AFRICA,Other,N
2996,ITALY,White Shark,N
2997,ITALY,White Shark,N
2999,USA,White Shark,Y
3001,USA,Other,N
3003,SOUTH AFRICA,White Shark,N
3004,USA,Other,N
3005,USA,Other,N
3008,USA,Other,N
3011,USA,Other,Y
3014,USA,Other,N
3015,USA,Other,N
3017,USA,Other,N
3019,BAHAMAS,Other,N
3020,USA,Other,N
3021,SOUTH AFRICA,Other,N
3022,USA,Other,N
3023,SOUTH AFRICA,Other,N
3024,ENGLAND,Other,N
3027,SOUTH KOREA,White Shark,Y
3028,SOUTH AFRICA,Other,N
3030,USA,Other,N
3031,SOUTH AFRICA,Other,N
3034,SOUTH AFRICA,Other,N
3035,USA,Other,N
3036,USA,Other,N
3037,CHILE,White Shark,N
3038,BRAZIL,White Shark,N
3039,SOUTH AFRICA,Other,N
3040,AUSTRALIA,Other,N
3042,USA,Other,N
3044,USA,Other,N
3046,AUSTRALIA,Other,N
3048,SOUTH AFRICA,Other,N
3050,REUNION,White Shark,N
3054,USA,White Shark,N
3055,USA,White Shark,N
3058,USA,Other,N
3059,SPAIN,Other,N
3061,USA,Other,N
3064,USA,Other,N
3065,SOUTH AFRICA,Other,N
3068,MEXICO,Other,N
3069,SOUTH AFRICA,Other,Y
3070,BRAZIL,Other,N
3072,SOUTH AFRICA,Other,N
3073,SOUTH AFRICA,White Shark,N
3074,KENYA,Other,N
3075,SOUTH AFRICA,Other,N
3076,SOUTH AFRICA,Other,N
3077,SOUTH AFRICA,Other,N
3078,CHILE,White Shark,Y
3079,NORTH ATLANTIC OCEAN,Other,N
3084,PORTUGAL,White Shark,Y
3085,SOUTH CHINA SEA,Other,N
3086,USA,White Shark,N
3087,SOUTH AFRICA,White Shark,N
3088,SOUTH AFRICA,Other,N
3089,AUSTRALIA,Other,N
3096,SOUTH AFRICA,White Shark,N
3099,NEW CALEDONIA,Other,Y
3102,USA,Other,N
3103,USA,White Shark,N
3106,SOUTH AFRICA,Other,N
3109,SOUTH AFRICA,White Shark,Y
3110,USA,Other,N
3113,SOUTH AFRICA,White Shark,N
3114,ITALY,White Shark,N
3115,AUSTRALIA,Other,N
3116,USA,Other,N
3125,AUSTRALIA,Other,N
3127,SOUTH AFRICA,Other,N
3128,SOUTH AFRICA,White Shark,N
3129,SOUTH AFRICA,Other,N
3135,SOUTH AFRICA,Other,N
3136,SOUTH AFRICA,White Shark,N
3137,SOUTH AFRICA,Other,N
3138,SOUTH AFRICA,White Shark,N
3139,AUSTRALIA,White Shark,N
3141,SOUTH AFRICA,White Shark,N
3142,USA,White Shark,N
3145,USA,Other,N
3146,USA,Other,N
3147,SOUTH AFRICA,Other,N
3150,USA,Other,N
3155,AUSTRALIA,Other,N
3160,USA,White Shark,N
3161,SOUTH AFRICA,White Shark,N
3163,USA,Other,N
3165,SOUTH AFRICA,White Shark,N
3166,SOUTH AFRICA,White Shark,N
3167,USA,White Shark,N
3168,SOUTH AFRICA,White Shark,N
3170,AUSTRALIA,Other,N
3174,USA,Other,N
3176,USA,White Shark,N
3180,USA,Other,N
3181,USA,Other,N
3182,USA,Other,N
3183,ITALY,Other,N
3184,AUSTRALIA,Other,N
3185,SOUTH AFRICA,Other,N
3188,SOUTH AFRICA,Other,N
3189,SOUTH AFRICA,White Shark,N
3190,SOUTH AFRICA,White Shark,N
3191,SOUTH AFRICA,White Shark,N
3192,SOUTH AFRICA,Other,N
3194,SOUTH AFRICA,White Shark,N
3195,USA,Other,N
3196,NEW ZEALAND,Other,Y
3198,AUSTRALIA,Other,N
3199,USA,White Shark,N
3200,AUSTRALIA,Other,N
3201,AUSTRALIA,Other,N
3202,SOUTH AFRICA,Other,N
3204,USA,Other,N
3206,AUSTRALIA,Other,N
3208,SOUTH AFRICA,Other,N
3209,SOUTH AFRICA,White Shark,N
3210,USA,Other,N
3211,USA,White Shark,N
3214,AUSTRALIA,White Shark,Y
3216,AUSTRALIA,Other,N
3217,USA,White Shark,N
3218,USA,White Shark,N
3219,USA,Other,N
3220,AUSTRALIA,Other,N
3222,USA,Other,N
3231,SOUTH AFRICA,White Shark,N
3234,USA,Other,N
3235,AUSTRALIA,Other,N
3236,SOUTH AFRICA,Other,N
3238,SOUTH AFRICA,Other,N
3239,SOUTH AFRICA,Other,N
3240,AUSTRALIA,White Shark,Y
3241,AUSTRALIA,Other,N
3243,SOUTH AFRICA,Other,N
3245,BERMUDA,Other,N
3249,USA,White Shark,N
3250,USA,White Shark,N
3251,ISRAEL,Other,N
3252,USA,White Shark,N
3253,USA,White Shark,N
3255,USA,White Shark,N
3260,CROATIA,White Shark,Y
3261,USA,White Shark,N
3262,USA,White Shark,N
3263,USA,Other,Y
3264,USA,Other,Y
3266,USA,White Shark,N
3268,SOUTH AFRICA,Other,N
3271,SOUTH AFRICA,Other,N
3272,SOUTH AFRICA,Other,N
3273,SOUTH AFRICA,White Shark,N
3276,SOUTH AFRICA,White Shark,N
3277,SOUTH AFRICA,White Shark,N
