,Country,White Shark (Y/N),Fatal (Y/N)
415,USA,Other,N
416,USA,Other,N
417,USA,Other,N
418,REUNION,Other,N
421,FRENCH POLYNESIA,Other,N
423,USA,Other,N
424,USA,Other,N
425,NEW CALEDONIA,Other,Y
427,AUSTRALIA,White Shark,N
428,SOUTH AFRICA,White Shark,N
430,USA,Other,N
431,AUSTRALIA,White Shark,N
432,AUSTRALIA,White Shark,N
433,USA,Other,N
434,REUNION,Other,Y
436,USA,Other,N
439,SOUTH AFRICA,White Shark,N
440,EGYPT,Other,Y
441,USA,Other,N
442,FRENCH POLYNESIA,Other,N
445,FRENCH POLYNESIA,Other,N
446,ATLANTIC OCEAN,White Shark,N
447,REUNION,Other,Y
448,AUSTRALIA,Other,Y
449,AUSTRALIA,Other,N
450,AUSTRALIA,Other,N
451,AUSTRALIA,Other,N
452,USA,Other,N
455,USA,White Shark,N
457,AUSTRALIA,Other,N
458,AUSTRALIA,Other,N
460,BAHAMAS,White Shark,N
461,SOUTH AFRICA,Other,N
462,USA,Other,N
463,AUSTRALIA,Other,N
464,AUSTRALIA,White Shark,Y
465,GREECE,Other,N
467,USA,White Shark,N
468,AUSTRALIA,Other,N
469,JAPAN,Other,N
470,AUSTRALIA,Other,Y
474,AUSTRALIA,White Shark,N
475,USA,White Shark,N
476,USA,Other,N
477,USA,Other,N
480,USA,Other,N
482,USA,Other,N
485,USA,Other,N
486,AUSTRALIA,Other,N
487,USA,Other,N
490,USA,Other,N
492,USA,Other,N
493,USA,White Shark,N
494,USA,White Shark,N
495,USA,Other,N
496,AUSTRALIA,White Shark,N
498,FRENCH POLYNESIA,Other,N
500,AUSTRALIA,Other,Y
501,USA,Other,N
502,USA,White Shark,N
503,USA,Other,N
505,USA,Other,N
506,USA,Other,N
509,SPAIN,Other,N
510,USA,Other,N
512,USA,Other,N
513,USA,Other,N
514,AUSTRALIA,Other,N
515,USA,Other,N
517,BAHAMAS,Other,N
519,USA,Other,N
520,USA,Other,N
524,SOUTH AFRICA,White Shark,N
526,USA,Other,N
527,REUNION,Other,N
529,SPAIN,Other,N
530,USA,Other,N
531,USA,Other,N
535,USA,White Shark,N
537,USA,Other,N
538,ST. MARTIN,White Shark,N
539,BAHAMAS,Other,N
542,AUSTRALIA,Other,N
544,USA,Other,N
545,AUSTRALIA,Other,N
548,USA,Other,N
550,USA,Other,N
551,AUSTRALIA,Other,N
552,FRANCE,Other,N
553,AUSTRALIA,Other,N
555,AUSTRALIA,White Shark,N
557,USA,Other,N
559,USA,Other,N
560,SOUTH AFRICA,Other,N
561,USA,Other,N
562,AUSTRALIA,Other,N
565,SOUTH AFRICA,White Shark,N
566,SOUTH AFRICA,Other,N
569,AUSTRALIA,White Shark,Y
571,SOUTH AFRICA,Other,Y
572,USA,Other,N
577,AUSTRALIA,Other,N
579,USA,Other,N
580,FRENCH POLYNESIA,Other,N
584,NEW ZEALAND,Other,N
585,AUSTRALIA,Other,N
586,NEW ZEALAND,Other,N
588,USA,White Shark,N
589,NEW ZEALAND,White Shark,N
590,NEW CALEDONIA,Other,N
591,SOUTH AFRICA,White Shark,N
593,USA,Other,N
594,USA,Other,N
595,AUSTRALIA,Other,N
597,AUSTRALIA,Other,Y
599,AUSTRALIA,White Shark,Y
600,USA,White Shark,N
601,AUSTRALIA,White Shark,N
605,USA,Other,N
606,AUSTRALIA,Other,N
607,REUNION,Other,N
608,AUSTRALIA,White Shark,N
609,AUSTRALIA,Other,N
610,USA,White Shark,N
611,USA,Other,N
612,USA,Other,N
613,SOUTH AFRICA,White Shark,Y
614,AUSTRALIA,White Shark,N
615,USA,White Shark,N
616,USA,Other,N
622,USA,Other,N
623,USA,Other,N
625,USA,Other,N
626,USA,Other,N
628,USA,Other,N
630,USA,Other,N
631,BAHAMAS,Other,N
632,USA,Other,N
634,FRANCE,Other,N
638,USA,White Shark,N
639,USA,Other,Y
641,USA,Other,N
642,SOUTH AFRICA,Other,N
643,USA,Other,N
646,BAHAMAS,Other,N
648,USA,Other,N
649,BAHAMAS,Other,N
661,USA,White Shark,N
662,USA,Other,N
663,USA,Other,N
664,USA,Other,N
668,USA,Other,N
669,USA,Other,N
670,AUSTRALIA,Other,N
671,USA,Other,N
675,ECUADOR,Other,N
677,REUNION,Other,Y
678,USA,Other,N
679,AUSTRALIA,Other,N
680,MEXICO,Other,N
681,AUSTRALIA,Other,N
682,USA,Other,N
683,SOUTH AFRICA,Other,N
684,USA,Other,N
686,FRENCH POLYNESIA,Other,N
689,USA,Other,N
692,BELIZE,Other,N
694,SOUTH AFRICA,Other,N
696,JAMAICA,Other,Y
697,AUSTRALIA,Other,N
698,PHILIPPINES,Other,N
700,NEW ZEALAND,White Shark,Y
701,USA,Other,N
702,USA,Other,N
703,USA,Other,N
704,FRENCH POLYNESIA,Other,N
706,AUSTRALIA,White Shark,N
709,USA,Other,N
710,NEW ZEALAND,Other,N
713,AUSTRALIA,Other,N
714,AUSTRALIA,Other,N
715,SOUTH AFRICA,Other,Y
716,AUSTRALIA,Other,N
717,USA,Other,N
718,AUSTRALIA,Other,N
719,NEW ZEALAND,Other,N
720,USA,Other,N
722,MEXICO,Other,Y
723,USA,Other,N
724,USA,Other,N
725,USA,Other,N
726,USA,White Shark,N
727,USA,Other,N
728,USA,White Shark,Y
731,USA,Other,N
735,AUSTRALIA,Other,N
736,USA,Other,N
737,USA,Other,N
739,TONGA,Other,N
746,USA,Other,N
747,USA,Other,N
748,USA,Other,N
749,SCOTLAND,Other,N
753,AUSTRALIA,Other,N
754,USA,Other,N
755,REUNION,Other,N
756,FRENCH POLYNESIA,Other,N
758,AUSTRALIA,White Shark,N
760,USA,White Shark,N
765,AUSTRALIA,White Shark,Y
769,USA,Other,N
770,SOUTH AFRICA,Other,N
772,USA,Other,N
774,USA,Other,N
777,AUSTRALIA,Other,N
780,USA,Other,N
781,USA,Other,N
782,USA,Other,N
